Year,Town,Species,# Crossed,# Dead
2013,Keene,Spotted Salamander,119,5
2013,Keene,Eastern Newt,3,1
2013,Keene,Wood Frog,1,135
2013,Keene,Spring Peepers,77,0
2014,Keene,Spotted Salamander,90,4
2014,Keene,Eastern Newt,5,3
2014,Keene,Wood Frog,602,341
2014,Keene,Spring Peepers,1332,394
2015,Keene,Spotted Salamander,87,7
2015,Keene,Eastern Newt,0,0
2015,Keene,Wood Frog,247,128
2015,Keene,Spring Peeper,1449,328
2016,Keene,Spotted Salamander,63,13
2016,Keene,Eastern Newt,22,24
2016,Keene,Wood Frog,857,437
2016,Keene,Spring Peeper,2093,570
2017,Keene,Spotted Salamander,40,4
2017,Keene,Eastern Newt,5,4
2017,Keene,Wood Frog,308,41
2017,Keene,Spring Peeper,228,28
2018,Keene,Spotted Salamander,173,4
2018,Keene,Eastern Newt,21,9
2018,Keene,Wood Frog,1191,66
2018,Keene,Spring Peeper,992,28
2019,Keene,Spotted Salamander,89,2
2019,Keene,Eastern Newt,3,4
2019,Keene,Wood Frog,552,60
2019,Keene,Spring Peeper,989,80
2020,Keene,Spotted Salamander,96,7
2020,Keene,Eastern Newt,5,5
2020,Keene,Wood Frog,453,58
2020,Keene,Spring Peeper,1411,117
2021,Keene,Spotted Salamander,5,0
2021,Keene,Eastern Newt,0,0
2021,Keene,Wood Frog,8,1
2021,Keene,Spring Peeper,3,0
2022,Keene,Spotted Salamander,14,0
2022,Keene,Eastern Newt,0,0
2022,Keene,Wood Frog,110,19
2022,Keene,Spring Peeper,0,0
2023,Keene,Spotted Salamander,0,1
2023,Keene,Eastern Newt,0,0
2023,Keene,Wood Frog,10,1
2023,Keene,Spring Peeper,10,2
2013,Nelson,Spotted Salamander,38,16
2013,Nelson,Eastern Newt,4,6
2013,Nelson,Wood Frog,40,7
2013,Nelson,Spring Peepers,108,32
2014,Nelson,Spotted Salamander,16,35
2014,Nelson,Eastern Newt,2,10
2014,Nelson,Wood Frog,12,2
2014,Nelson,Spring Peepers,138,55
2015,Nelson,Spotted Salamander,53,1
2015,Nelson,Eastern Newt,17,4
2015,Nelson,Wood Frog,30,1
2015,Nelson,Spring Peepers,190,21
2016,Nelson,Spotted Salamander,22,10
2016,Nelson,Eastern Newt,10,5
2016,Nelson,Wood Frog,26,10
2016,Nelson,Spring Peepers,143,45
2017,Nelson,Spotted Salamander,51,4
2017,Nelson,Eastern Newt,16,11
2017,Nelson,Wood Frog,88,14
2017,Nelson,Spring Peepers,200,41
2018,Nelson,Spotted Salamander,61,26
2018,Nelson,Eastern Newt,39,32
2018,Nelson,Wood Frog,52,9
2018,Nelson,Spring Peepers,217,24
2019,Nelson,Spotted Salamander,40,8
2019,Nelson,Eastern Newt,2,14
2019,Nelson,Wood Frog,22,2
2019,Nelson,Spring Peepers,313,84
2020,Nelson,Spotted Salamander,63,6
2020,Nelson,Eastern Newt,18,13
2020,Nelson,Wood Frog,55,9
2020,Nelson,Spring Peepers,306,42
2021,Nelson,Spotted Salamander,87,5
2021,Nelson,Eastern Newt,14,25
2021,Nelson,Wood Frog,38,6
2021,Nelson,Spring Peepers,724,204
2022,Nelson,Spotted Salamander,102,9
2022,Nelson,Eastern Newt,15,14
2022,Nelson,Wood Frog,27,8
2022,Nelson,Spring Peepers,470,26
2023,Nelson,Spotted Salamander,21,2
2023,Nelson,Eastern Newt,0,0
2023,Nelson,Wood Frog,14,7
2023,Nelson,Spring Peepers,479,112
2013,Hancock,Spotted Salamander,8,4
2013,Hancock,Eastern Newt,33,3
2013,Hancock,Wood Frog,36,34
2013,Hancock,Spring Peepers,44,15
2014,Hancock,Spotted Salamander,32,9
2014,Hancock,Eastern Newt,0,4
2014,Hancock,Wood Frog,39,7
2014,Hancock,Spring Peepers ,33,4
2015,Hancock,Spotted Salamander,46,3
2015,Hancock,Eastern Newt,4,2
2015,Hancock,Wood Frog,30,5
2015,Hancock,Spring Peepers ,30,3
2016,Hancock,Spotted Salamander,59,26
2016,Hancock,Eastern Newt,3,8
2016,Hancock,Wood Frog,23,28
2016,Hancock,Spring Peepers ,62,16
2017,Hancock,Spotted Salamander,100,57
2017,Hancock,Eastern Newt,11,13
2017,Hancock,Wood Frog,31,19
2017,Hancock,Spring Peepers ,215,97
2018,Hancock,Spotted Salamander,83,29
2018,Hancock,Eastern Newt,16,36
2018,Hancock,Wood Frog,20,8
2018,Hancock,Spring Peepers ,215,84
2019,Hancock,Spotted Salamander,6,16
2019,Hancock,Eastern Newt,2,3
2019,Hancock,Wood Frog,0,0
2019,Hancock,Spring Peepers ,10,3
2020,Hancock,Spotted Salamander,7,0
2020,Hancock,Eastern Newt,3,2
2020,Hancock,Wood Frog,3,0
2020,Hancock,Spring Peepers ,53,1
2021,Hancock,Spotted Salamander,8,4
2021,Hancock,Eastern Newt,9,13
2021,Hancock,Wood Frog,4,6
2021,Hancock,Spring Peepers ,113,37
2022,Hancock,Spotted Salamander,49,5
2022,Hancock,Eastern Newt,1,1
2022,Hancock,Wood Frog,85,16
2022,Hancock,Spring Peepers ,245,65
2023,Hancock,Spotted Salamander,15,6
2023,Hancock,Eastern Newt,5,2
2023,Hancock,Wood Frog,34,4
2023,Hancock,Spring Peepers ,187,105
2014,Peterborough,Spotted Salamander,58,5
2014,Peterborough,Eastern Newt,1,0
2014,Peterborough,Wood Frog,291,73
2014,Peterborough,Spring Peepers,482,100
2015,Peterborough,Spotted Salamander,55,7
2015,Peterborough,Eastern Newt,10,5
2015,Peterborough,Wood Frog,228,18
2015,Peterborough,Spring Peepers,378,62
2016,Peterborough,Spotted Salamander,62,11
2016,Peterborough,Eastern Newt,5,3
2016,Peterborough,Wood Frog,144,71
2016,Peterborough,Spring Peepers,166,43
2017,Peterborough,Spotted Salamander,73,23
2017,Peterborough,Eastern Newt,22,6
2017,Peterborough,Wood Frog,67,12
2017,Peterborough,Spring Peepers,439,77
2018,Peterborough,Spotted Salamander,174,19
2018,Peterborough,Eastern Newt,33,13
2018,Peterborough,Wood Frog,129,29
2018,Peterborough,Spring Peepers,440,57
2019,Peterborough,Spotted Salamander,119,11
2019,Peterborough,Eastern Newt,4,4
2019,Peterborough,Wood Frog,38,21
2019,Peterborough,Spring Peepers,300,121
2020,Peterborough,Spotted Salamander,63,8
2020,Peterborough,Eastern Newt,10,2
2020,Peterborough,Wood Frog,247,68
2020,Peterborough,Spring Peepers,227,53
2021,Peterborough,Spotted Salamander,89,13
2021,Peterborough,Eastern Newt,213,57
2021,Peterborough,Wood Frog,213,57
2021,Peterborough,Spring Peepers,339,132
2022,Peterborough,Spotted Salamander,57,4
2022,Peterborough,Eastern Newt,3,0
2022,Peterborough,Wood Frog,346,34
2022,Peterborough,Spring Peepers,710,145
2023,Peterborough,Spotted Salamander,62,6
2023,Peterborough,Eastern Newt,2,2
2023,Peterborough,Wood Frog,96,12
2023,Peterborough,Spring Peepers,347,41
